archetype_id,decision_mode,preferred_distance,engage_distance,disengage_distance,pressure_health_ratio,defend_health_ratio,execute_health_ratio,aoe_min_targets,awakening_health_ratio,decision_interval
catcher_control,control_setup,3.2,5.0,1.0,0.70,0.45,0.30,2,0.30,0.18
enchanter_support,ally_support,3.0,5.5,1.5,0.75,0.55,0.20,2,0.25,0.18
diver_commit,commit_dive,1.3,4.2,0.0,0.70,0.40,0.35,1,0.40,0.12
juggernaut_pressure,melee_pressure,1.35,2.4,0.0,0.72,0.55,0.33,2,0.45,0.15
burst_combo,burst_cast,4.0,6.0,2.0,0.65,0.40,0.38,2,0.35,0.16
battlemage_zone,zone_pressure,3.0,5.0,1.5,0.68,0.45,0.30,2,0.35,0.16
artillery_poke,poke_range,6.0,8.0,3.5,0.60,0.35,0.28,2,0.30,0.22
marksman_kite,kite_sustain,4.5,6.5,3.0,0.65,0.40,0.25,2,0.30,0.12
assassin_pick,pick_burst,1.0,4.5,0.0,0.60,0.32,0.45,1,0.45,0.10
skirmisher_duel,duel_pressure,1.35,3.0,0.0,0.68,0.38,0.35,1,0.38,0.12
vanguard_engage,frontline_engage,1.5,4.0,0.0,0.72,0.50,0.20,2,0.30,0.16
warden_protect,ally_protect,2.5,4.0,1.0,0.72,0.55,0.20,2,0.25,0.16
specialist_custom,custom,2.0,4.0,0.0,0.65,0.45,0.30,1,0.35,0.16
