rule_id,category,value_type,value,description
schema.version,system,int,2,战斗数据库结构版本
progression.level_cap,progression,int,18,默认英雄等级上限
progression.growth_linear_coefficient,progression,float,0.7025,LoL式非线性成长公式的一次系数
progression.growth_quadratic_coefficient,progression,float,0.0175,LoL式非线性成长公式的二次系数
damage.crit_multiplier,damage,float,1.75,默认暴击伤害倍率
damage.minimum_damage,damage,float,1.0,致命伤害之外的最低伤害
damage.reduction_cap,damage,float,0.90,通用减伤比例上限
damage.default_nonlethal,damage,bool,false,普通伤害默认可以致死
defense.armor_curve_constant,defense,float,100.0,正负护甲双曲线常数
defense.magic_resist_curve_constant,defense,float,100.0,正负魔抗双曲线常数
cooldown.haste_constant,cooldown,float,100.0,技能急速换算常数
cooldown.minimum_cooldown,cooldown,float,0.10,技能最低冷却时间
control.tenacity_cap,control,float,0.80,韧性生效上限
control.minimum_duration,control,float,0.10,控制最短持续时间
control.same_type_refresh,control,enum,KEEP_LONGEST,同类控制默认保留更长时间
buff.default_max_stacks,buff,int,1,Buff默认最大层数
buff.default_refresh_policy,buff,enum,REFRESH,Buff默认刷新持续时间
shield.absorb_order,shield,enum,FIFO,多个护盾默认吸收顺序
combat.default_hitstop,action,float,0.06,普通命中停顿
combat.default_hitstun,action,float,0.18,普通受击硬直
combat.default_knockback_decay,action,float,12.0,默认击退衰减
combat.default_depth_tolerance,action,float,0.65,横版纵深命中容差
combat.gravity,action,float,20.0,角色重力
combat.floor_stick_velocity,action,float,-0.1,贴地速度
combat.friendly_fire,targeting,bool,false,默认禁止友军伤害
combat.self_aoe_hits_self,targeting,bool,false,自身范围攻击默认不伤害自己
number.rounding_mode,number,enum,NONE,战斗内部不取整
number.display_rounding,number,enum,FLOOR,界面显示向下取整
