effect_id,rank,base_value,scaling_coefficient,target_missing_health_coefficient,delay,interval,control_duration,source_key,notes
breaker_damage,1,30,0.5,0,0,0,0,bonus_physical_damage|total_ad,Q bonus damage cannot crit
breaker_damage,2,60,0.5,0,0,0,0,bonus_physical_damage|total_ad,Q bonus damage cannot crit
breaker_damage,3,90,0.5,0,0,0,0,bonus_physical_damage|total_ad,Q bonus damage cannot crit
breaker_damage,4,120,0.5,0,0,0,0,bonus_physical_damage|total_ad,Q bonus damage cannot crit
breaker_damage,5,150,0.5,0,0,0,0,bonus_physical_damage|total_ad,Q bonus damage cannot crit
black_sail_damage_reduction,1,0.25,0,0,0,0,0,damage_reduction,W rank 1 25% damage reduction
black_sail_damage_reduction,2,0.29,0,0,0,0,0,damage_reduction,W rank 2 29% damage reduction
black_sail_damage_reduction,3,0.33,0,0,0,0,0,damage_reduction,W rank 3 33% damage reduction
black_sail_damage_reduction,4,0.37,0,0,0,0,0,damage_reduction,W rank 4 37% damage reduction
black_sail_damage_reduction,5,0.41,0,0,0,0,0,damage_reduction,W rank 5 41% damage reduction
black_sail_shield,1,65,0.18,0,0,0,0,shield|bonus_health,W rank 1 shield; no world VFX
black_sail_shield,2,85,0.18,0,0,0,0,shield|bonus_health,W rank 2 shield; no world VFX
black_sail_shield,3,105,0.18,0,0,0,0,shield|bonus_health,W rank 3 shield; no world VFX
black_sail_shield,4,125,0.18,0,0,0,0,shield|bonus_health,W rank 4 shield; no world VFX
black_sail_shield,5,145,0.18,0,0,0,0,shield|bonus_health,W rank 5 shield; no world VFX
black_sail_tenacity,1,0.60,0,0,0,0,0,tenacity,W rank 1 60% tenacity for guard duration
black_sail_tenacity,2,0.60,0,0,0,0,0,tenacity,W rank 2 60% tenacity for guard duration
black_sail_tenacity,3,0.60,0,0,0,0,0,tenacity,W rank 3 60% tenacity for guard duration
black_sail_tenacity,4,0.60,0,0,0,0,0,tenacity,W rank 4 60% tenacity for guard duration
black_sail_tenacity,5,0.60,0,0,0,0,0,tenacity,W rank 5 60% tenacity for guard duration
seven_seas_damage,1,350,0,0,1.35,0,0,impact_damage,T rank 1 ghostship magical impact damage
seven_seas_damage,2,475,0,0,1.35,0,0,impact_damage,T rank 2 ghostship magical impact damage
seven_seas_damage,3,600,0,0,1.35,0,0,impact_damage,T rank 3 ghostship magical impact damage
seven_seas_rum,1,5.0,0.20,0,0,0,0,rum_duration|move_speed,T rank 1 rum duration and move speed
seven_seas_rum,2,6.0,0.25,0,0,0,0,rum_duration|move_speed,T rank 2 rum duration and move speed
seven_seas_rum,3,7.0,0.30,0,0,0,0,rum_duration|move_speed,T rank 3 rum duration and move speed
ocean_damage,1,4,0.40,0,0,0,0,physical_damage_per_spin|total_ad,E rank 1 per spin
ocean_damage,2,7,0.43,0,0,0,0,physical_damage_per_spin|total_ad,E rank 2 per spin
ocean_damage,3,10,0.46,0,0,0,0,physical_damage_per_spin|total_ad,E rank 3 per spin
ocean_damage,4,13,0.49,0,0,0,0,physical_damage_per_spin|total_ad,E rank 4 per spin
ocean_damage,5,16,0.52,0,0,0,0,physical_damage_per_spin|total_ad,E rank 5 per spin
judgment_damage,1,125,0,0.25,0.435,0,0,true_damage|target_missing_health,R rank 1 true damage
judgment_damage,2,200,0,0.30,0.435,0,0,true_damage|target_missing_health,R rank 2 true damage
judgment_damage,3,275,0,0.35,0.435,0,0,true_damage|target_missing_health,R rank 3 true damage
ryze_q_damage,1,60,0.55,0,0,0,0,magic_damage|ap|mana,历史二代Q
ryze_q_damage,2,90,0.55,0,0,0,0,magic_damage|ap|mana,历史二代Q
ryze_q_damage,3,120,0.55,0,0,0,0,magic_damage|ap|mana,历史二代Q
ryze_q_damage,4,150,0.55,0,0,0,0,magic_damage|ap|mana,历史二代Q
ryze_q_damage,5,180,0.55,0,0,0,0,magic_damage|ap|mana,历史二代Q
ryze_w_damage,1,80,0.40,0,0,0,1,magic_damage|ap|mana,历史二代W
ryze_w_damage,2,100,0.40,0,0,0,1.1,magic_damage|ap|mana,历史二代W
ryze_w_damage,3,120,0.40,0,0,0,1.2,magic_damage|ap|mana,历史二代W
ryze_w_damage,4,140,0.40,0,0,0,1.3,magic_damage|ap|mana,历史二代W
ryze_w_damage,5,160,0.40,0,0,0,1.4,magic_damage|ap|mana,历史二代W
ryze_e_damage,1,36,0.20,0,0,0,0,magic_damage|ap|mana,历史二代E
ryze_e_damage,2,52,0.20,0,0,0,0,magic_damage|ap|mana,历史二代E
ryze_e_damage,3,68,0.20,0,0,0,0,magic_damage|ap|mana,历史二代E
ryze_e_damage,4,84,0.20,0,0,0,0,magic_damage|ap|mana,历史二代E
ryze_e_damage,5,100,0.20,0,0,0,0,magic_damage|ap|mana,历史二代E
ryze_p_shield,1,25,0.08,0,0,0,0,shield|mana,按英雄等级提升到110；当前等级1为25
ryze_t_buff,1,0.15,0,0,0,0,0,spell_vamp,绝望之力一级法术吸血
ryze_t_buff,2,0.20,0,0,0,0,0,spell_vamp,绝望之力二级法术吸血
ryze_t_buff,3,0.25,0,0,0,0,0,spell_vamp,绝望之力三级法术吸血
