effect_id,skill_id,order,trigger,effect_type,target_selector,damage_type,base_value,scaling_stat,scaling_coefficient,target_missing_health_coefficient,delay,interval,can_crit,nonlethal,buff_id,control_type,control_duration,hit_profile_id,tags
perseverance_regen,garen_perseverance,10,on_cast,restore,self,none,0.015,max_health,1,0,0,5.0,false,false,,,0,,max_health_ratio_per_5|continuous_after_lockout
breaker_cleanse,garen_breaker,10,on_cast,cleanse,self,none,0,,0,0,0,0,false,false,,slow,0,,cleanse
breaker_speed,garen_breaker,20,on_cast,apply_buff,self,none,0,,0,0,0,0,false,false,breaker_speed,,0,,positive
breaker_damage,garen_breaker,30,on_next_attack,damage,target,physical,115,attack_damage,0,0,0,0,true,false,,,0,breaker_hit,melee
breaker_silence,garen_breaker,40,on_next_attack,apply_control,target,none,0,,0,0,0,0,false,false,,silence,1.5,,crowd_control
black_sail_buff,garen_black_sail,10,on_cast,apply_buff,self,none,0,,0,0,0,0,false,false,black_sail,,0,,positive
black_sail_rum_cleanse,garen_black_sail,20,on_cast,delayed_damage,self,none,0.30,,0,0,0,0,false,false,,,0,,cleanse_30_percent
ocean_damage,garen_ocean_storm,10,periodic,damage,enemies_in_area,physical,4,attack_damage,0.40,0,0,0,true,false,,,0,ocean_hit,area|per_spin
ocean_armor_shred,garen_ocean_storm,20,on_hit,apply_buff,target,none,0,,0,0,0,0,false,false,judgment_armor_shred,,0,,six_hits|refresh_every_six_hits
judgment_damage,garen_tyrant_judgment,10,on_impact,damage,target,true,125,,0,0.25,0.435,0,false,false,,,0,judgment_hit,execute|target_missing_health|normal_shield_absorbs
seven_seas_damage,garen_seven_seas,10,on_impact,damage,enemies_in_area,physical,180,attack_damage,0,0,1.35,0,false,false,,,0,ghostship_hit,area
seven_seas_stun,garen_seven_seas,20,on_impact,apply_control,enemies_in_area,none,0,,0,0,1.35,0,false,false,,stun,2.0,,crowd_control
seven_seas_rum,garen_seven_seas,30,on_impact,apply_buff,self_and_allies,none,0,,0,0,1.35,0,false,false,seven_seas_rum,,0,,positive
