skill_id,owner_id,slot,ability_kind,source_slot,identity_status,max_rank,display_name,target_type,cast_type,cooldown,cast_time,recovery_time,cast_range,radius,duration,tick_interval,resource_cost,movement_policy,facing_policy,snapshot_target_position,windup_animation_name,animation_name,movement_animation_name,empowered_animation_name,travel_start_offset,travel_duration,vfx_profile_id,audio_profile_id,icon_profile_id,tags
garen_perseverance,garen,0,passive,p,simplified,1,坚忍,self,instant,0,0,0,0,0,0,0,0,allowed,none,false,,,,,0,0,,garen_passive_recovery_activate,garen_perseverance_icon,max_health_regen|damage_lockout
garen_breaker,garen,1,active,q,simplified,5,破舰,self,empower,8.0,0,0,2.4,0,4.5,0,0,allowed,continuous,false,channel_wndup,channel_wndup,run_spell,spell1,0,0,,garen_q_cast,garen_decisive_strike_icon,cleanse_slow|speed_buff|empower_attack|attack_reset|lunge
garen_black_sail,garen,2,active,w,adapted,5,黑帆,self,instant,22.0,0,0,0,0,4.0,0,0,allowed,continuous,false,,,,,0,0,jolly_roger,garen_w_cast,garen_courage_icon,damage_reduction|shield|tenacity|courage_stacks|rum_cleanse
garen_ocean_storm,garen,3,active,e,adapted,5,翻江倒海,self_area,channel,9.0,0,0,3.8,3.8,3.0,0,0,allowed,continuous,false,,spell3,,,0,0,ocean_storm,garen_e_cast,garen_judgment_icon,periodic|physical|can_crit|super_armor|armor_shred
garen_tyrant_judgment,garen,4,active,r,adapted,3,暴君审判,unit,cast,45.0,0.435,0.35,4.0,0,0.63,0,0,locked,continuous,false,,spell4,,,0,0,anchor,garen_r_cast,garen_demacian_justice_icon,execute|true_damage|target_missing_health|reveal_deferred
garen_seven_seas,garen,5,active,t,adapted,3,七海霸权,ground_area,travel,120.0,1.05,0.65,7.5,5.2,1.70,0,0,locked,cast_time,true,,taunt,,,2.2,1.35,ghostship,ghostship_audio,garen_ghostship_icon,awakening|area|magic|stun|rum_buff|delayed_damage
ryze_arcane_mastery,ryze,0,passive,p,faithful,1,奥术精通,self,instant,0,0,0,0,0,6,0,0,allowed,continuous,false,,,,,0,0,,ryze_arcane_mastery_icon,ryze_arcane_mastery_icon,stack_on_qwe_rt|five_stack_supercharge
ryze_overload,ryze,1,active,q,faithful,5,超负荷,direction,cast,4,0,0,5.5,1.1,0,0,40,locked,cast_time,true,,spell1,,,0,0,ryze_q_vfx,,ryze_overload_icon,first_enemy|projectile_17mps|depth_1_1
ryze_rune_prison,ryze,2,active,w,faithful,5,符文囚笼,unit,cast,14,0,0,5.5,0,0,0,60,locked,cast_time,false,,spell2,,,0,0,ryze_w_vfx,,ryze_rune_prison_icon,targeted|frame_5
ryze_spell_flux,ryze,3,active,e,faithful,5,法术洪流,unit,cast,7,0,0,5.5,3.5,5,0,60,locked,cast_time,false,,spell3,,,0,0,ryze_e_vfx,,ryze_spell_flux_icon,targeted|bounce_15mps|multiplicative_mr_shred
ryze_realm_warp,ryze,4,active,r,adapted,3,空间扭曲,ground_area,channel,180,2,0,25,5.5,2,0,100,locked,cast_time,true,,spell4,spell4_winddown,,0,0,ryze_r_winddown_vfx,,ryze_realm_warp_icon,teleport|ally_radius_5_5|interrupt_silence_stun_knockup|refund_on_cancel
ryze_desperate_power,ryze,5,active,t,faithful,3,绝望之力,self,channel,50,0,0,0,3.5,6,0,0,locked,cast_time,false,,taunt,,,0,0,ryze_t_buff,,ryze_desperate_power_icon,awakening|super_armor_channel|spell_vamp|aoe_spill
