stat_id,display_name,category,unit,default_operation,minimum,maximum,description
health,生命值,resource,point,flat,0,1000000,单位当前生命
max_health,最大生命值,resource,point,flat,1,1000000,单位生命上限
health_regen_per_5,生命回复,defense,point_per_5_seconds,flat,0,1000000,每5秒自然回复生命
max_resource,最大资源,resource,point,flat,0,1000000,法力或其他施法资源上限
resource_regen_per_5,资源回复,resource,point_per_5_seconds,flat,0,1000000,每5秒自然回复资源
attack_damage,攻击力,offense,point,flat,0,100000,普通攻击及物理技能成长源
ability_power,法术强度,offense,point,flat,0,100000,魔法技能成长源
armor,护甲,defense,point,flat,-999,100000,降低物理伤害
magic_resistance,魔法抗性,defense,point,flat,-999,100000,降低魔法伤害
move_speed,移动速度,movement,meter_per_second,flat,0,100,平面移动速度
acceleration,加速度,movement,meter_per_second_squared,flat,0,1000,移动速度达到目标值的响应速度
attack_range,攻击距离,presence,meter,flat,0,100,普通攻击可触达的平面距离
attack_speed,攻击速度,offense,ratio,multiply,0.1,10,普通攻击动画速度系数
attack_speed_ratio,攻速倍率,offense,ratio,multiply,0.1,10,加成攻速的换算倍率
critical_chance,暴击率,offense,ratio,flat,0,1,攻击与可暴击技能的暴击概率
critical_damage,暴击伤害,offense,ratio,flat,1,10,暴击伤害倍率
ability_haste,技能急速,utility,point,flat,-99,10000,降低技能冷却
tenacity,韧性,defense,ratio,flat,0,0.8,减少可缩减控制持续时间
slow_resistance,减速抗性,defense,ratio,flat,0,1,降低减速强度
heal_shield_power,治疗护盾强度,utility,ratio,add_percent,0,10,增强治疗与护盾
armor_penetration_flat,固定护甲穿透,offense,point,flat,0,100000,物理伤害结算前忽略固定护甲
armor_penetration_percent,百分比护甲穿透,offense,ratio,flat,0,1,物理伤害结算前忽略比例护甲
magic_penetration_flat,固定魔法穿透,offense,point,flat,0,100000,魔法伤害结算前忽略固定魔抗
magic_penetration_percent,百分比魔法穿透,offense,ratio,flat,0,1,魔法伤害结算前忽略比例魔抗
life_steal,生命偷取,offense,ratio,flat,0,10,根据普攻结算后伤害恢复生命
physical_vamp,物理吸血,offense,ratio,flat,0,10,根据物理伤害恢复生命
omnivamp,全能吸血,offense,ratio,flat,0,10,根据多类伤害恢复生命
damage_taken,承受伤害,defense,ratio,multiply,0.1,10,承伤乘区
control_duration,受控时长,defense,ratio,multiply,0.1,10,控制时长乘区
poise,霸体值,action,point,flat,0,100000,承受削韧的容量
poise_regen,霸体恢复,action,point_per_second,flat,0,100000,霸体恢复速度
knockback_resistance,击退抗性,action,ratio,flat,0,1,降低击退和击飞强度
attack_windup,攻击前摇,action,ratio,flat,0,1,攻击动画进入命中窗口前的比例
attack_windup_modifier,前摇攻速修正,action,ratio,multiply,0,10,攻速对攻击前摇的影响程度
attack_delay_offset,攻击延迟偏移,action,ratio,flat,-1,1,基础攻击前摇计算偏移
acquisition_radius,索敌半径,presence,meter,flat,0,100,自动获取目标范围
selection_radius,选取半径,presence,meter,flat,0,100,交互选取宽度
selection_height,选取高度,presence,meter,flat,0,100,交互选取高度
gameplay_radius,玩法半径,presence,meter,flat,0,100,命中与视觉尺寸
pathing_radius,寻路半径,presence,meter,flat,0,100,碰撞与寻路尺寸
depth_radius,纵深半径,action,meter,flat,0,100,横版纵深命中尺寸
poise_damage,削韧,action,point,flat,0,100000,一次命中的削韧值
hitstun,硬直时长,action,second,flat,0,30,无法行动的受击时间
knockback,击退强度,action,meter_per_second,flat,0,100,平面击退初速度
